"ANSWER","ID","SIZE"
"A Farewell to Arms","2148","10"
"Treaty of Versailles","2149","16"
"haiku","2150","12"
"Election of 2000","2151","2"
"Jean Piaget","2152","31"
"Spanish-American War","2153","14"
"temperature","2154","39"
"hydrogen bond","2155","2"
"The Night Watch","2156","20"
"HTTP","2157","2"
"Daisy Miller","2158","5"
"force","2159","4"
"Vietnam War","2160","18"
"double bond","2161","5"
"The Hunchback of Notre Dame","2162","10"
"Pride and Prejudice","2163","26"
"combustion reaction","2164","2"
"Nikolai Gogol","2165","26"
"mimicry","2166","5"
"Adolf Hitler","2167","17"
"evolution","2168","4"
"Henry Knox","2169","3"
"sonnet","2170","4"
"John Broadus Watson","2171","13"
"cell membrane","2172","14"
"Berlin","2173","27"
"sorting","2174","4"
"muscle","2175","3"
"epic poem","2176","2"
"Romeo and Juliet","2177","20"
"Beloved","2178","19"
"three","2179","34"
"New York","2180","21"
"flowers","2181","20"
"John Roberts","2182","3"
"mutations","2183","7"
"ester","2184","3"
"Loki","2185","38"
"How I Met Your Mother","2186","4"
"Thomas the Apostle","2187","3"
"Max Planck","2188","14"
"Stonewall Jackson","2189","2"
"Ronald Wilson Reagan","2190","10"
"neurotransmitters","2191","2"
"prophets","2192","3"
"spheres","2193","11"
"Fallingwater","2194","3"
"Hamas","2195","3"
"Czech","2196","12"
"Kingdom of Denmark","2197","16"
"New York Giants","2198","3"
"Paul Revere","2199","3"
"halogens","2200","19"
"Thomas Pynchon","2201","16"
"HIV","2202","19"
"Romanticism","2203","3"
"friction force","2204","3"
"canon","2205","4"
"The Waste Land","2206","30"
"Prime Minister of Canada","2207","7"
"Their Eyes Were Watching God","2208","21"
"Derrick Martell Rose","2209","2"
"Federalist Papers","2210","3"
"Leo Tolstoy","2211","31"
"Thirteenth Amendment","2212","2"
"Mayan myth","2213","2"
"Oregon Trail","2214","3"
"Giuseppe Garibaldi","2215","30"
"The Arcade Fire","2216","3"
"The Sistine Chapel","2217","2"
"hands","2218","6"
"serotonin","2219","16"
"Arthur Miller","2220","20"
"Adam Smith","2221","20"
"Galileo Galilei","2222","9"
"United States Attorney General","2223","4"
"Herman Melville","2224","35"
"Uncle Tom","2225","5"
"Detroit Tigers","2226","3"
"King Lear","2227","19"
"Annie","2228","2"
"Peoples Republic of China","2229","47"
"future tense","2230","3"
"Roy Lichtenstein","2231","13"
"buoyancy","2232","6"
"cerebellum","2233","14"
"The Brothers Karamazov","2234","18"
"WALL-E","2235","4"
"kidney","2236","9"
"capital","2237","9"
"subjunctive mood","2238","2"
"the Big Bang","2239","3"
"chlorophyll","2240","9"
"freezing point","2241","3"
"Pandora","2242","5"
"French and Indian War","2243","6"
"Italy","2244","101"
"pendulums","2245","13"
"The Nutcracker","2246","13"
"Pierre-Auguste Renoir","2247","17"
"continental drift","2248","3"
"maximum","2249","2"
"New Jersey","2250","16"
"Robert Wilhelm Eberhard Bunsen","2251","3"
"infinite","2252","4"
"Battle of the Alamo","2253","5"
"Orson Welles","2254","8"
"California gold rush","2255","3"
"Rip Van Winkle","2256","5"
"D-Day","2257","6"
"concentration camps","2258","5"
"Magna Carta","2259","13"
"Peter the Great","2260","25"
"protons","2261","14"
"Malcolm X","2262","8"
"Marlon Brando Jr","2263","2"
"C++","2264","8"
"aquifers","2265","13"
"Cubism","2266","11"
"Glee","2267","3"
"The Diary of a Young Girl","2268","3"
"lanthanides","2269","7"
"The Bear","2270","3"
"nitric acid","2271","9"
"luminiferous ether","2272","2"
"Esperanto","2273","4"
"Geronimo","2274","6"
"taiga","2275","7"
"Detroit Michigan","2276","4"
"arthritis","2277","2"
"The Divine Comedy","2278","11"
"alms-giving","2279","2"
"blue","2280","36"
"San Francisco Bay","2281","4"
"Mandarin Chinese","2282","3"
"European Union","2283","7"
"Louis Pasteur","2284","4"
"Hull House","2285","3"
"waves","2286","8"
"A Midsummer Nights Dream","2287","10"
"Krishna","2288","24"
"contracts","2289","5"
"seeds","2290","4"
"the Harlem Renaissance","2291","2"
"anarchy","2292","5"
"activation energy","2293","14"
"eagles","2294","8"
"F Scott Fitzgerald","2295","11"
"comedy","2296","2"
"time","2297","39"
"moon","2298","6"
"William Cuthbert Faulkner","2299","6"
"Rome","2300","28"
"Charles Baudelaire","2301","28"
"Alexander Hamilton","2302","25"
"Miles Davis","2303","14"
"Hades","2304","23"
"George Orwell","2305","32"
"Sparta","2306","27"
"Kennedy family","2307","3"
"Arkansas","2308","10"
"Gothic literature","2309","2"
"clouds","2310","15"
"extinction of the dinosaurs","2311","5"
"Ayn Rand","2312","5"
"Permian Period","2313","4"
"Epic of Gilgamesh","2314","2"
"London England","2315","9"
"The Three Musketeers","2316","18"
"phosphorus","2317","22"
"floods","2318","12"
"Amy Tan","2319","4"
"Cherokee Nation","2320","2"
"reptiles","2321","2"
"IM Pei","2322","5"
"essay","2323","3"
"Utah","2324","15"
"taxation","2325","4"
"Atlas Mountains","2326","11"
"prophase","2327","6"
"Pygmalion","2328","23"
"unemployment","2329","18"
"Aaron Burr","2330","5"
"hydrochloric acid","2331","8"
"Wounded Knee Massacre","2332","7"
"Uncle Toms Cabin","2333","20"
"Sicily","2334","37"
"The Ingenious Hidalgo Don Quixote of La Mancha","2335","4"
"Mandarin","2336","2"
"Fahrenheit 451","2337","7"
"lambda","2338","4"
"solubility","2339","13"
"The Second Coming","2340","9"
"ultraviolet light","2341","6"
"Abraham","2342","15"
"Iran-Contra Affair","2343","5"
"La Boheme","2344","11"
"inner core","2345","6"
"Johannes Kepler","2346","13"
"Republic of the Union of Myanmar","2347","8"
"orange","2348","3"
"Joseph Heller","2349","6"
"Dwight Kurt Schrute","2350","2"
"The Raven","2351","15"
"A Tale of Two Cities","2352","14"
"xylem","2353","17"
"Andy Warhol","2354","19"
"Houston","2355","5"
"table tennis","2356","2"
"Istanbul","2357","12"
"Gunpowder Plot","2358","9"
"Jan Vermeer","2359","12"
"A Streetcar Named Desire","2360","24"
"Gospel According to Luke","2361","2"
"Kenya","2362","13"
"Dred Scott v Sandford","2363","2"
"thyroid gland","2364","15"
"Goliath","2365","3"
"covalent bonds","2366","2"
"Jose Saramago","2367","6"
"Cormac McCarthy","2368","16"
"momentum","2369","8"
"Victor Hugo","2370","16"
"Edward Hopper","2371","27"
"James Monroe","2372","17"
"social classes","2373","2"
"Athena","2374","18"
"Hamlet","2375","9"
"basalt","2376","6"
"Italian","2377","12"
"American Revolutionary War","2378","8"
"St Augustine of Hippo","2379","7"
"Paul","2380","4"
"Dracula","2381","12"
"gravity","2382","35"
"insulin","2383","25"
"CPUs","2384","3"
"meningitis","2385","2"
"tectonic plates","2386","8"
"Olympia","2387","17"
"line","2388","3"
"Benito Amilcare Andrea Mussolini","2389","9"
"potassium","2390","11"
"Maslows hierarchy of needs","2391","4"
"Edmund Spenser","2392","16"
"Alexander Sergeyevich Pushkin","2393","9"
"Venus","2394","32"
"GNULinux","2395","2"
"Vladimir Ilich Lenin","2396","3"
"Charles Charlie Chaplin","2397","2"
"archaeology","2398","8"
"ribosome","2399","8"
"Jacob","2400","13"
"paradoxes","2401","5"
"Avatar","2402","3"
"Republic of Yemen","2403","7"
"Roots The Saga of an American Family","2404","2"
"Joseph Stalin","2405","13"
"Henrys Law","2406","14"
"Philip Zimbardo","2407","8"
"resistance","2408","17"
"mucus","2409","3"
"nouns","2410","7"
"Nathaniel Turner","2411","2"
"searching","2412","4"
"charter schools","2413","3"
"Homer","2414","9"
"Gioacchino Rossini","2415","3"
"commutative","2416","3"
"Dont Ask Dont Tell","2417","3"
"photons","2418","28"
"chloroplasts","2419","10"
"The Big Bang Theory","2420","5"
"Ernest Hemingway","2421","27"
"Baltimore Ravens","2422","2"
"Pele","2423","8"
"Rhode Island and Providence Plantations","2424","6"
"carbon","2425","27"
"electric current","2426","18"
"heart","2427","12"
"Ozymandias","2428","13"
"Muhammad Ali","2429","5"
"chromatography","2430","40"
"Hermann Hesse","2431","32"
"filibuster","2432","5"
"skin","2433","10"
"spiders","2434","15"
"supernovae","2435","9"
"One Flew Over the Cuckoos Nest","2436","12"
"nuclear weapons","2437","4"
"Constantine the Great","2438","7"
"Marcel Duchamp","2439","26"
"India","2440","42"
"Vitamin A","2441","7"
"ragtime","2442","5"
"Ramadan","2443","17"
"alpha particle","2444","2"
"blindness","2445","9"
"Womans Christian Temperance Union","2446","3"
"abortion","2447","10"
"China","2448","77"
"Chelsea FC","2449","2"
"James Mercer Langston Hughes","2450","6"
"factorization","2451","3"
"Ireland","2452","41"
"corundum","2453","8"
"Boston","2454","18"
"Georg Wilhelm Friedrich Hegel","2455","33"
"John Greenleaf Whittier","2456","19"
"photoelectric effect","2457","15"
"Ambrose Gwinett Bierce","2458","2"
"Amphibians","2459","2"
"William the Conqueror","2460","18"
"LeBron Raymone James","2461","2"
"permutations","2462","5"
"Jack Kerouac","2463","9"
"Erik Homburger Erikson","2464","10"
"Samuel Taylor Coleridge","2465","27"
"history","2466","15"
"stamen","2467","2"
"acetone","2468","10"
"Hernan Cortes","2469","2"
"Korean War","2470","9"
"Clint Eastwood","2471","2"
"Thanatopsis","2472","15"
"Marbury v Madison","2473","9"
"The Importance of Being Earnest A Trivial Comedy for Serious People","2474","3"
"Otto","2475","3"
"Dole","2476","3"
"red","2477","33"
"tragedy","2478","3"
"Greek","2479","10"
"cerebrum","2480","2"
"Fourth Amendment to the United States Constitution","2481","4"
"The Gross Clinic","2482","9"
"Missouri River","2483","5"
"Ivanhoe","2484","10"
"isomers","2485","4"
"Oedipus","2486","18"
"Lois Lane","2487","2"
"poetry","2488","6"
"homologous recombination","2489","2"
"Boston Tea Party","2490","8"
"John Updike","2491","8"
"Pablo Ruiz Picasso","2492","2"
"Thorstein Veblen","2493","11"
"Council of Trent","2494","17"
"bits","2495","3"
"Salvador Dali","2496","20"
"Anton Chekhov","2497","23"
"Walter Whitman","2498","5"
"Keith Theodore Olbermann","2499","2"
"Benjamin Harrison","2500","12"
"urea","2501","11"
"peroxisome","2502","3"
"The Bell Jar","2503","12"
"Pocahontas","2504","5"
"Lewis Carroll","2505","10"
"Edgeworth-Kuiper Belt","2506","7"
"Pierre de Fermat","2507","15"
"Milano","2508","5"
"Claudius","2509","5"
"catalysts","2510","19"
"Gestalt psychology","2511","6"
"Charlotte Perkins Gilman","2512","4"
"Sir Joshua Reynolds","2513","5"
"Earthquakes","2514","2"
"harmonic oscillator","2515","9"
"aorta","2516","9"
"Gibbs Free Energy","2517","7"
"Battle of Lepanto","2518","12"
"Aida","2519","23"
"Atalanta","2520","16"
"Lord Kelvin","2521","6"
"glycogen","2522","8"
"Huldrych Zwingli","2523","8"
"Dorothea Lange","2524","12"
"death","2525","14"
"John Henry","2526","3"
"Pullman Strike","2527","6"
"Frank Owen Gehry","2528","11"
"Carnation Revolution","2529","5"
"series","2530","5"
"Civil Disobedience","2531","6"
"Inca","2532","14"
"spinal cord","2533","4"
"Harold Bloom","2534","5"
"Party in the USA","2535","2"
"Lysistrata","2536","10"
"Claudio Giovanni Antonio Monteverdi","2537","3"
"Betty Friedan","2538","7"
"Spanish","2539","20"
"James Thurber","2540","8"
"jury selection","2541","3"
"drowning","2542","7"
"Richard Joseph Daley","2543","2"
"Arabic","2544","24"
"Eugene Onegin","2545","15"
"Aeschylus","2546","21"
"magnetic monopoles","2547","6"
"Iago","2548","7"
"salt","2549","21"
"George Eliot","2550","19"
"William Edward Burghardt Du Bois","2551","5"
"Ars Poetica","2552","6"
"pH","2553","20"
"Alien and Sedition Acts","2554","2"
"Ethics","2555","15"
"Edna St Vincent Millay","2556","17"
"Sherwood Anderson","2557","8"
"Francois Duvalier","2558","4"
"Pure Food and Drug Act of 1906","2559","2"
"ee cummings","2560","5"
"Gioachino Antonio Rossini","2561","12"
"Ruth Fulton Benedict","2562","4"
"stone","2563","5"
"Prohibition","2564","6"
"Alexandre Dumas pere","2565","7"
"Cleveland","2566","5"
"Christina Rossetti","2567","11"
"David Cameron","2568","6"
"John Berryman","2569","4"
"primality","2570","5"
"A Room of Ones Own","2571","11"
"Heimdall","2572","12"
"Achille Claude Debussy","2573","3"
"Siege of Vicksburg","2574","5"
"lattice energy","2575","9"
"Beatrice Portinari","2576","2"
"Tower of London","2577","4"
"fractals","2578","9"
"Lorraine Hansberry","2579","7"
"John Stuart Mill","2580","28"
"Alan Turing","2581","21"
"USA","2582","3"
"hyphae","2583","7"
"Bahrain","2584","3"
"Karel Capek","2585","14"
"antibiotics","2586","2"
"city","2587","4"
"stars","2588","9"
"dimensions","2589","3"
"Zen Buddhism","2590","23"
"Tradition and the Individual Talent","2591","4"
"Great Expectations","2592","24"
"estrogen","2593","3"
"the underworld","2594","4"
"Puget Sound","2595","2"
"oxidation","2596","13"
"Mark Antony","2597","15"
"Moscow","2598","16"
"Constantin Brancusi","2599","24"
"conditioning","2600","7"
"chelation","2601","4"
"Main Street","2602","6"
"Epistle of Paul to the Romans","2603","2"
"Mikhail Afanasyevich Bulgakov","2604","6"
"Oklahoma City","2605","3"
"Sicilian Vespers","2606","2"
"macrophages","2607","8"
"arrays","2608","6"
"heart attacks","2609","2"
"Indian reservations","2610","2"
"Diffraction","2611","3"
"British East India Company","2612","6"
"Potassium","2613","3"
"William Somerset Maugham","2614","10"
"Citizens United v Federal Election Commission","2615","3"
"St Petersburg","2616","9"
"Embargo Act","2617","4"
"lungs","2618","14"
"Down syndrome","2619","5"
"brown","2620","3"
"iodine","2621","17"
"The Millers Tale","2622","3"
"alkynes","2623","23"
"Thomas Malthus","2624","9"
"Karl Heinrich Marx","2625","5"
"The Lady of Shalott","2626","9"
"Loki Laufeyarson","2627","5"
"First Battle of the Marne","2628","2"
"Bernoulli","2629","6"
"Catherine","2630","5"
"Hikaru Genji","2631","2"
"fountains","2632","6"
"Zulu","2633","10"
"Henry","2634","14"
"Ferromagnetism","2635","2"
"Sitting Bull","2636","7"
"Auckland","2637","2"
"shopping malls","2638","3"
"Nicholas II","2639","8"
"fluorescence","2640","9"
"The Autobiography of Benjamin Franklin","2641","4"
"Acts of the Apostles","2642","13"
"The Mikado","2643","3"
"Activation Energy","2644","2"
"Charles Wright Mills","2645","11"
"nephrons","2646","3"
"Sappho of Lesbos","2647","4"
"electric charge","2648","20"
"symphonies by Ludwig van Beethoven","2649","6"
"Alphonse Gabriel Al Capone","2650","2"
"Cerenkov radiation","2651","2"
"Edward Morgan Forster","2652","15"
"Jules Verne","2653","8"
"Octavio Paz Lozano","2654","7"
"Tezcatlipoca","2655","15"
"Moses Maimonides","2656","7"
"Cu Chulainn","2657","8"
"Winged Victory of Samothrace","2658","7"
"Triceratops","2659","3"
"July Revolution","2660","5"
"Simone de Beauvoir","2661","14"
"Our Town","2662","19"
"Quakers","2663","18"
"Paul Cezanne","2664","19"
"Maxwells demon","2665","4"
"Aaron Burr Jr","2666","5"
"cAMP","2667","6"
"Coral reefs","2668","2"
"The Unbearable Lightness of Being","2669","24"
"Much Ado About Nothing","2670","15"
"Peter Ilyich Tchaikovsky","2671","8"
"John Smith","2672","3"
"Mario Vargas Llosa","2673","31"
"The Murders in the Rue Morgue","2674","4"
"The Name of the Rose","2675","11"
"James Clerk Maxwell","2676","7"
"Canute the Great","2677","5"
"George Frideric Handel","2678","31"
"Lord Byron","2679","14"
"Idi Amin Dada","2680","12"
"crystals","2681","12"
"Kenneth Arrow","2682","8"
"The Golden Ass","2683","6"
"Torque","2684","3"
"horses","2685","44"
"Episcopal Church","2686","3"
"Young Werther","2687","3"
"Thomas Robert Malthus","2688","7"
"Mayan mythology","2689","6"
"Robert Francis Kennedy","2690","3"
"Nikolai Andreyevich Rimsky-Korsakov","2691","5"
"Vanity Fair A Novel Without a Hero","2692","4"
"fairies","2693","4"
"oncogenes","2694","3"
"Mustafa Kemal Ataturk","2695","11"
"Friction","2696","3"
"Julian Assange","2697","2"
"nuclear magnetic resonance spectroscopy","2698","2"
"serpents","2699","4"
"Mikhail Bulgakov","2700","6"
"Royal Canadian Mounted Police","2701","2"
"Rynosuke Akutagawa","2702","3"
"Marc Chagall","2703","23"
"The United States of America","2704","8"
"Popish Plot","2705","2"
"Hephaestus","2706","23"
"Abbasids","2707","3"
"Miss Julie","2708","14"
"Charles Augustin de Coulomb","2709","2"
"Wolfgang Amadeus Mozarts Requiem Mass in D minor","2710","3"
"Leviathan","2711","29"
"Josip Broz Tito","2712","10"
"Joseph-Louis Lagrange","2713","9"
"Sufism","2714","7"
"free radicals","2715","22"
"Jacques Derrida","2716","18"
"George Brinton McClellan","2717","2"
"dividends","2718","2"
"bone tissue","2719","4"
"mountains","2720","16"
"Henry Purcell","2721","15"
"New Years","2722","2"
"Neville Chamberlain","2723","12"
"Willie Stark","2724","4"
"George Caleb Bingham","2725","4"
"Being and Time","2726","8"
"nationalism","2727","2"
"Tiananmen Square","2728","2"
"Rome Italy","2729","5"
"the Spanish Golden Age","2730","2"
"Looking Backward 2000-1887","2731","4"
"Charles I","2732","9"
"Pelops","2733","11"
"The Duino Elegies","2734","4"
"spin","2735","20"
"wheat","2736","3"
"WVO Quine","2737","3"
"liquid crystals","2738","12"
"Jainism","2739","47"
"glucagon","2740","3"
"Wales","2741","18"
"The Moonstone","2742","5"
"pyruvate","2743","2"
"Rhodes","2744","7"
"lawyer","2745","2"
"Ottorino Respighi","2746","13"
"Ariadne","2747","4"
"Good Country People","2748","3"
"Miss Havisham","2749","3"
"Triton","2750","7"
"Arjuna","2751","13"
"William Dean Howells","2752","8"
"Battle of Chalons","2753","4"
"Carl Maria Von Weber","2754","2"
"George Berkeley","2755","24"
"Soul Mountain","2756","4"
"Ming dynasty","2757","7"
"semiconductor","2758","3"
"The Frogs","2759","14"
"Great Northern War","2760","18"
"Jorn Oberg Utzon","2761","2"
"pyrite","2762","2"
"Treaty of Brest-Litovsk","2763","7"
"In the Penal Colony","2764","5"
"Lyme disease","2765","3"
"Tractatus Logico-Philosophicus","2766","9"
"The Kalevala","2767","5"
"Rossetti","2768","5"
"C Auguste Dupin","2769","5"
"Snake River","2770","8"
"Ravenna","2771","3"
"cats","2772","13"
"Palmer Raids","2773","2"
"The Misanthrope","2774","3"
"Barbara McClintock","2775","2"
"Scarlatti","2776","2"
"Jacobites","2777","4"
"Eugene Victor Debs","2778","4"
"emotions","2779","10"
"piano","2780","23"
"The Wife of Baths Tale","2781","2"
"Battle of Salamis","2782","11"
"Hendrik Lorentz","2783","3"
"Second Punic War","2784","12"
"Laocoon","2785","2"
"Lyndon Baines Johnson","2786","16"
"tRNA","2787","8"
"The Temple of the Golden Pavilion","2788","7"
"platinum","2789","5"
"optical aberrations","2790","4"
"Taylor series","2791","3"
"Centaurs","2792","2"
"The Black Paintings","2793","2"
"Tokugawa shogunate","2794","8"
"Gwendolyn Brooks","2795","19"
"Battle of Manzikert","2796","2"
"regular","2797","5"
"motets","2798","4"
"Oliver Goldsmith","2799","14"
"Benvenuto Cellini","2800","16"
"traveling salesman problem","2801","2"
"Lake Chad","2802","9"
"bilirubin","2803","3"
"James","2804","12"
"liquidity trap","2805","2"
"Anthony van Dyck","2806","6"
"Jeremy Bentham","2807","14"
"Coxeys Army","2808","5"
"The Octopus A Story of California","2809","2"
"Epistle to the Romans","2810","11"
"Heinrich Boll","2811","4"
"Maximilian","2812","2"
"An Enquiry Concerning Human Understanding","2813","12"
"dwarves","2814","6"
"impedance","2815","5"
"Nematoda","2816","10"
"Stalwarts","2817","3"
"Paul Hindemith","2818","14"
"Kingdom of Thailand","2819","14"
"Robert Lowell","2820","13"
"Charles Martel","2821","7"
"Fanny Price","2822","2"
"neutrinos","2823","22"
"quantum tunneling","2824","15"
"perspective","2825","3"
"Far from the Madding Crowd","2826","5"
"David Petraeus","2827","3"
"Tender Is the Night","2828","5"
"anti-diuretic hormone","2829","2"
"aesthetics","2830","4"
"alcohol","2831","13"
"Syrian Arab Republic","2832","8"
"Holi","2833","10"
"Anatole France","2834","12"
"The Structure of Scientific Revolutions","2835","7"
"Pierre Corneille","2836","8"
"John Lackland","2837","2"
"identity element","2838","2"
"Gilbert Ryle","2839","3"
"Emile Francois Zola","2840","3"
"Parsifal","2841","4"
"simple harmonic oscillator","2842","7"
"Ngo Dinh Diem","2843","4"
"business cycles","2844","7"
"LAbsinthe","2845","2"
"Mickey Mouse","2846","3"
"Modest Mussorgsky","2847","5"
"Henry David Thoreau","2848","4"
"Republic of Sierra Leone","2849","4"
"ice","2850","10"
"Brideshead Revisited","2851","12"
"Jurgen Habermas","2852","8"
"Genesis","2853","2"
"Giacomo Meyerbeer","2854","8"
"Mount Kenya","2855","3"
"Friedrich August von Hayek","2856","9"
"Transcription","2857","2"
"Hans Castorp","2858","3"
"Rene Magritte","2859","10"
"bipolar junction transistor","2860","2"
"Thebes","2861","40"
"Silvio Berlusconi","2862","7"
"Psyche","2863","9"
"Andrew Marvell","2864","27"
"November Uprising","2865","2"
"cosmic inflation","2866","5"
"The Golden Bough","2867","13"
"George Edward Moore","2868","7"
"Quo Vadis","2869","4"
"elliptical galaxies","2870","8"
"Duchenne Muscular Dystrophy","2871","2"
"preludes","2872","10"
"shields","2873","8"
"Republic of Fiji","2874","6"
"acetic acid","2875","16"
"Le Corbusier","2876","31"
"Uganda","2877","11"
"convex","2878","6"
"Philip Larkin","2879","18"
"superfluidity","2880","8"
"Safavid dynasty","2881","3"
"D H Lawrence","2882","5"
"Baltic Sea","2883","13"
"p","2884","9"
"John Kenneth Galbraith","2885","15"
"Ascomycota","2886","2"
"buffers","2887","8"
"John Major","2888","3"
"Henry Ross Perot","2889","2"
"Vertigo","2890","7"
"Bernard Malamud","2891","7"
"critical point","2892","5"
"The Playboy of the Western World","2893","5"
"Jose de Sousa Saramago","2894","8"
"broken windows theory","2895","2"
"protein folding","2896","12"
"Gandhi","2897","8"
"Hare Krishna Movement","2898","2"
"matrix multiplication","2899","5"
"Ludwig Mies van der Rohe","2900","14"
"carbon monoxide","2901","16"
"The Quiet American","2902","3"
"Lake Nicaragua","2903","8"
"bridges","2904","14"
"French Jews","2905","2"
"Mantua","2906","3"
"Willard van Orman Quine","2907","3"
"reaction rate","2908","8"
"John Knox","2909","7"
"Rainer Maria Rilke","2910","29"
"Orinoco River","2911","6"
"La Belle Dame Sans Merci","2912","3"
"cerebrospinal fluid","2913","4"
"Talcott Parsons","2914","9"
"The World According to Garp","2915","5"
"Lajos Kossuth","2916","6"
"The Imaginary Invalid","2917","8"
"Nicolas Poussin","2918","14"
"Civilization and Its Discontents","2919","3"
"Juvenal","2920","3"
"Olive Branch Petition","2921","2"
"zinc","2922","16"
"New Brunswick","2923","3"
"The Gates of Hell","2924","12"
"Hussites","2925","2"
"Drosophila melanogaster","2926","14"
"A Connecticut Yankee in King Arthurs Court","2927","7"
"fluid velocity","2928","4"
"Apophis","2929","4"
"Mikhail Ivanovich Glinka","2930","2"
"Naples","2931","12"
"integration by parts","2932","2"
"Michel Foucault","2933","36"
"Irrawaddy River","2934","10"
"Arrowsmith","2935","5"
"Susanoo","2936","8"
"Vercingetorix","2937","2"
"auxin","2938","4"
"Johann Strauss II","2939","8"
"La Violencia","2940","3"
"X-ray crystallography","2941","6"
"halting","2942","2"
"Crito","2943","5"
"Diocletian","2944","5"
"capillaries","2945","3"
"piano sonatas of Ludwig van Beethoven","2946","3"
"Great Salt Lake","2947","4"
"Edward Rochester","2948","3"
"Paul Gauguin","2949","14"
"Bokononism","2950","2"
"frequency","2951","10"
"Walker Percy","2952","5"
"Maya Lin","2953","8"
"Hungarian Revolution","2954","3"
"Saint Anselm of Canterbury","2955","3"
"sickle-cell anemia","2956","5"
"A Rose for Emily","2957","6"
"Amartya Sen","2958","6"
"Tiresias","2959","12"
"Arthur Rimbaud","2960","11"
"Stern-Gerlach experiment","2961","10"
"Sir Percival","2962","3"
"Lombards","2963","2"
"reversible process","2964","2"
"Georgia Totto OKeeffe","2965","5"
"Nicholas Nickleby","2966","2"
"The World as Will and Idea","2967","3"
"The Chrysanthemum and the Sword Patterns of Japanese Culture","2968","5"
"Mary I","2969","4"
"manganese","2970","4"
"Cuchulainn","2971","9"
"Summa Theologica","2972","12"
"central limit theorem","2973","5"
"Gang of Four","2974","2"
"Mongolia","2975","10"
"English horn","2976","7"
"Robert Walpole","2977","9"
"caches","2978","4"
"Jean-Paul Sartre","2979","46"
"Slavonic Dances","2980","2"
"Herbert Marcuse","2981","6"
"wavefunction","2982","8"
"The Importance of Being Earnest","2983","20"
"Marie de Medici","2984","3"
"Sir Gawain and the Green Knight","2985","11"
"nuclear envelope","2986","3"
"Sirens","2987","4"
"Carl Rogers","2988","9"
"Louis Sullivan","2989","7"
"JB","2990","4"
"strong nuclear forceinteraction","2991","2"
"Jeff Koons","2992","4"
"linear momentum","2993","37"
"iconoclasm","2994","3"
"Crossing Brooklyn Ferry","2995","8"
"bystander effect","2996","12"
"The Carnival of the Animals","2997","16"
"Wilfred of Ivanhoe","2998","3"
"Sleipnir","2999","7"
"Aldous Huxley","3000","14"
"Lucius Cornelius Sulla Felix","3001","5"
"Panama Canal","3002","12"
"Lewis acids","3003","3"
"reincarnation","3004","2"
"telomeres","3005","9"
"Pre-Raphaelite Brotherhood","3006","18"
"The Castle","3007","6"
"Oregon Territory","3008","3"
"Vilfredo Pareto","3009","11"
"Kate Chopin","3010","20"
"Elegy Written in a Country Churchyard","3011","13"
"Vikram Seth","3012","7"
"Thomas Paine","3013","9"
"Parmigianino","3014","7"
"Salem witch trials","3015","6"
"rivers","3016","25"
"Sir Edward Elgar","3017","5"
"Republic of Ghana","3018","7"
"Sapir-Whorf hypothesis","3019","4"
"Philip Morris Glass","3020","5"
"lysosomes","3021","16"
"A Bend in the River","3022","7"
"phenomenology","3023","8"
"polymerase chain reaction","3024","5"
"Arthur Evelyn St John Waugh","3025","2"
"chaos theory","3026","4"
"The Luncheon of the Boating Party","3027","5"
"dopamine","3028","12"
"snakes","3029","20"
"Vasco da Gama 1st Count of Vidigueira","3030","2"
"Taiwan","3031","19"
"Dr John H Watson","3032","3"
"Edwin Powell Hubble","3033","4"
"The Theory of the Leisure Class","3034","5"
"Patrick White","3035","8"
"Tristan und Isolde","3036","5"
"Meiji Restoration","3037","15"
"Bel Marduk","3038","9"
"First Great Awakening","3039","3"
"Critique of Pure Reason","3040","12"
"string theory","3041","2"
"A Rakes Progress","3042","3"
"Anthony Trollope","3043","3"
"The Ecstasy of Saint Teresa","3044","3"
"the Olympics","3045","2"
"The Tragedy of Hamlet Prince of Denmark","3046","7"
"Charles Edward Ives","3047","7"
"Secretary of the Interior","3048","3"
"The Bluest Eye","3049","9"
"vitamin A","3050","3"
"The General Theory of Employment Interest and Money","3051","4"
"The Last Judgement","3052","2"
"Arthur Schopenhauer","3053","28"
"Battle of Teutoburg Forest","3054","2"
"Ali ibn Abi Talib","3055","8"
"If on a Winters Night a Traveler","3056","4"
"Hesiod","3057","5"
"The Joy Luck Club","3058","5"
"Wolfgang Ernst Pauli","3059","3"
"Taiping Rebellion","3060","7"
"Futurism","3061","7"
"Bertrand Russell","3062","28"
"apoptosis","3063","19"
"Spoon River Anthology","3064","14"
"Ralph Vaughan Williams","3065","28"
"transistors","3066","9"
"Katherine Mansfield","3067","9"
"The School for Scandal","3068","5"
"William Ewart Gladstone","3069","7"
"Erskine Caldwell","3070","3"
"Cardinal Jules Mazarin","3071","2"
"Goblin Market","3072","7"
"hypothalamus","3073","6"
"Republic of Turkey","3074","21"
"The Sorrows of Young Werther","3075","12"
"turbulent flow","3076","4"
"al-Quran","3077","5"
"Republic of Indonesia","3078","21"
"Marcel Mauss","3079","10"
"Kiss of the Spider Woman","3080","4"
"total energy","3081","2"
"Rwandan genocide","3082","4"
"Haruki Murakami","3083","20"
"restriction enzymes","3084","7"
"Bedrich Smetana","3085","10"
"Juan Domingo Peron","3086","8"
